;base_value;screen_on;voltage;usage;screen_brightness;network_status_WIFI;battery_level;temperature;up_time;network_status_disconnected;system_size_partition_busy;network_status_0;shareit_0;ims service_1;com.sec.phone_1;google play music_1;system ui_1;bluetooth share_1;battery analytics_0;google play services_1;com.facebook.orca:videoplayer_0;messenger_0;com.samsung.android.email.provider:service_0;com.lenovo.anyshare.gps:transfer_0;health_Unspecifiedfailure;google play música_1;os_version_6.0.1;health_Good;health_Unknown;bootagent_1;network_status_disconnecting;network_status_edge;network_status_gprs;network_status_hsdpa;network_status_hspap;network_status_hsupa;network_status_lte;com.facebook.katana:videoplayer_0;youtube_1;beaconmanager_1;whatsapp_0;ram_busy_percent;user_storage_busy_percent;roaming_enabled;bluetooth_enabled;location_enabled;power_saver_enabled;nfc_enabled;developer_mode;battery double_0;com.google.android.googlequicksearchbox:interactor_0;com.google.android.googlequicksearchbox:search_0;org.simalliance.openmobileapi.service:remote_0;com.instagram.android:mqtt_0;secvideoengineservice_1;com.facebook.lite:fbns_0;com.android.systemui.recents_0;com.instagram.android:videoplayer_0;com.android.chrome:privileged_process0_0;com.sec.spp.push:remotedlcprocess_0;lite_0;google backup transport_1;google play store_1;fused location_1;csc_1;samsung push service_1;layanan google play_1;network_status_utms;com.facebook.katana:notification_0;batteryhub_0;com.google.android.gms.persistent_0;os_version_5.1.1;os_version_7.1.2;network_status_19;network_status_hspa;com.android.smspush_1;com.qualcomm.qcrilmsgtunnel_1;android services library_1;com.qualcomm.qti.tetherservice_1;facebook_0;os_version_6.0;os_version_5.1;bluetooth_1;os_version_4.2.2;os_version_4.3;os_version_4.4.2;os_version_5.0.2;os_version_5.0.1;com.android.systemui.imagewallpaper_0;context service_1;network_status_ehrpd;network_status_connecting;network_status_1xrtt;com.qualcomm.atfwd_1;os_version_7;health_Overheat;network_status_evdo_a;os_version_4.4.4;network_status_30;os_version_10.1.2;os_version_6;os_version_5;network_status_16;os_version_4.1.2;os_version_7.1.1;health_Overvoltage;os_version_4.1.1;os_version_9.0.1;network_status_17;os_version_7.1;os_version_5.0
ASUS_Z00RD;136.9456;55.83606692230524;9.367564064081849;6.565192751393898;0.43609559960588246;10.457859806838327;2.7444504620047607;8.149677156283905;0.0;2.843916383592749;0.04984357021672005;0.0;0.0;;;;;;0.0;;0.0;0.0;;0.6973208562230819;;;0.0;0.0;0.0;;;0.0;;0.0;10.132061509576813;;;0.0;0.0;;0.48569807971238316;0.0;14.465002283885111;0.0;0.502081098670794;4.970600862961649;0.0;0.0;0.0;0.018187177597227662;19.972511959921185;0.0;;0.0;;0.0;;1.9814046966696737;13.761593621260094;;0.0;0.0;0.0;0.0;;;0.0;0.0;;;0.0;;;;0.0;0.0;0.0;;0.0;0.0;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;
LG-M153;165.5488;56.60795053414017;40.25101727827225;10.124005170745262;0.0;6.426176817380676;0.0;0.0;0.7328597916624375;0.0;0.0;0.0;0.0;;;12.96989733968477;0.0;;0.0;0.0;0.0;0.852140728123398;;45.20049918033663;;5.051174077785388;0.0;0.0;;;0.0;3.0134624255284805;0.0;;2.656200469681067;;0.0;0.0;0.0;;0.0;0.0;6.680498199238476;0.0;1.3331035169749987;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;;0.0;0.0;;0.0;0.0;0.0;;;;;;;;;;;;0.0;;0.0;;0.0;0.0;;;0.0;;;;;;;;;0.0;;0.0;;0.0;;;;;;;;;;;;;;;
SM-G950F;376.252;158.12960648208613;0.6094507152424485;7.83698778648943;0.0;3.9236956475524645;2.8160932501522;1.3304389474491052;0.0;37.500078485892914;0.0;0.0;0.0;0.0;0.0;;5.4909183183600465;;0.0;16.97629790646278;9.258089125096776;10.845853420720438;1.8511611999610424;;;;0.0;0.0;0.4287911336354319;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.170038100741544;0.0;0.0;0.0;0.0;0.0;0.0;4.223349594556684;0.4221361592046002;5.115987831791254;1.9508088324367823;21.687807928274964;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.79107570652278;0.0;;1.1074476316481197;0.0;0.0;0.0;0.45508856730798963;6.8734596106598636;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;0.0;;0.0;;;0.0;;;;;;;0.0;;;;;0.0;;;;;;;;;;;;;;;;
HTC 10;236.612;116.9732175546408;16.633089143501632;2.6131138699010066;0.0;0.0;12.18449697367655;30.593248101223253;0.041951692706664545;18.96769774990512;5.044385117619918;;;;;;;0.0;;;0.0;0.0;;;;0.0;;1.1261938356466241;0.0;;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;;0.0;1.169351021833364;0.0;0.0;0.0;0.0;0.8181837353730902;0.0;0.0;;0.0;0.0;0.0;0.0;;;;14.02113984340526;0.0;;;0.0;0.46778238614652107;;;;;0.0;0.0;0.0;;;0.0;;0.0;0.0;;0.0;0.0;;;;;;;;;;;;;;;;14.509919517230045;0.0;;;;;;;;;;;;;;;
SM-J250F;237.4792;22.993196857096436;0.0;19.132706258046447;1.5434177367121147;3.3642310414250627;0.0;0.0;0.0;0.023446979658364536;0.21832322943732688;0.0;0.0;0.0;0.0;0.03674701649606673;12.33818130293638;;1.0645554518399836;0.0;0.0;0.0;1.3953809662930239;0.0;0.0;0.4124799194245431;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;0.8525210001747202;1.0520349732972292;0.0;0.0;0.0;0.0;0.0;0.0;1.9677737207287687;0.0;0.3014991739988573;;0.0;0.0;0.0;;0.11389629004855979;1.0099325387685776;1.7919660133697781;0.0;2.427577798630556;0.0;2.8509043966924588;0.0;0.0;0.0;0.0;;;;;;;0.0;;;0.0;;0.0;;;1.0746275563323089;;;;;;;0.0;;;;0.0;;;;;;;;;;;0.0;;;;;;
SM-J105B;439.51;291.4583680808105;5.694387893229928;4.038918045105661;18.213592887191773;1.4643143934016931;2.2135064259651682;49.007983830850655;6.482924449698403;6.382980303827647;2.3931670843866404;1.8193869322850131;3.7120024068827813;;1.9024354396989511;3.0191450170660965;6.004170115575246;;0.0;3.405679017084543;1.3107023212285733;19.235438154089536;;2.153736346275455;0.0;2.089412394100779;;0.0;;;0.0;4.12723169472864;0.0;;54.55885981786499;;;1.169917558365825;0.9407611935563771;;0.9698991698468901;2.24725606136142;0.4172397173003298;0.0;14.43131628699438;3.1457023357664786;0.0;0.0;0.0;0.0;0.0;0.2392521403914977;0.0;16.894577897633916;;0.0;;3.522270022240937;0.0;9.415475279515467;8.51982584846978;0.0;0.9764197522611692;4.75507640787219;0.0;0.9018193577644362;0.0;0.0;;6.964748903585118;0.0;0.0;;;0.0;;;;;0.3099445282915959;;;1.576284349566068;;;;;;0.0;;;;;;;;;;;;;;;;;0.0;;;;;
SM-J700M;300.0447;124.28795279789264;54.27659563294378;0.0;18.94007873000973;0.0;0.6290694616860271;0.0;25.875118550594127;0.0;0.0;0.0;0.0;2.188023444982255;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.7901196112218407;0.0;0.0;0.0;0.0;0.0;0.0;7.462226473930967;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.144963842945048;0.0;0.0;1.2505732290199887;;0.0;;0.0;0.0;0.0;;;;;;;;0.0;;;0.0;;;;;;0.0;0.0;;;;;;;;;;;;;;;;0.0;;;;;
SM-G920V;146.1134;50.6804877990507;0.5954210173424364;2.1769931101997018;0.0;0.0;0.0;14.48383097163715;0.0;6.163280342881915;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.81422330625787;0.0;2.4659867545769774;8.303985526988816;0.0;;0.0;0.0;0.0;0.0;1.9841852702492055;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;2.81686978702612;0.0;0.0;6.46781015443167;0.0;0.0;0.0;0.0;7.6652370763059166;0.0;0.0;0.0;0.8166819794080064;0.0;0.0;0.0;0.8992361622805978;0.0;0.0;1.4212726427335516;0.0;0.0;0.0;3.9161867533714676;0.0;0.0;5.674616938973868;;0.0;0.0;;;0.0;;;0.0;;0.0;;;0.0;;;;;;0.0;0.0;;;0.0;0.0;0.0;;0.0;;;;;;;;;;;;;;
LG-K430;284.9076;167.93164459203103;52.45898642893706;6.292162380629145;13.80943244220769;10.209920457020605;0.0;30.86837397566587;2.2237786045401875;10.075108562379045;4.1315672638175;0.0;4.549122369248543;;;0.0;0.0;;2.387974558447758;7.092128304915746;0.0;0.8255879547852101;;4.8735870604751845;;7.455211969017005;;0.0;;;0.0;0.7902159480956822;1.517510750690339;2.093422293942741;0.0;;4.026582001879813;0.6815170895512153;0.9646163467339793;;8.107031196029372;1.6276837401813853;2.241509344564877;0.0;2.6448132651388865;2.749527578273304;0.0;0.0;0.0;0.0;0.0;0.0;;0.851520280872669;;7.584313318522327;;0.30241986877361676;10.463343790760524;;0.0;0.27079817492731756;2.0545244124974094;;;;4.9926494271490105;0.0;;0.0;;;;;0.0;;;;;4.086463808177301;;;0.0;;;;;;;;;0.0;;;;;;;;;0.0;;;;;;;;;;
Andromax A16C3H;72.5364;10.136355682920149;24.121058730585165;11.740962933859867;0.0;0.0;8.323521513882085;6.0214627449188916;0.1242541214521812;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;;;0.0;0.0;;;0.0;;;0.0;;0.0;0.0;0.0;;0.0;0.4179509504591512;2.077590592262752;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;;;0.0;0.0;;;0.0;0.0;;;0.0;0.0;0.0;;;0.0;;;;;;;;;;;;0.0;;0.6839115245947525;;0.0;;;;;;;;;;;;;;;
