;base_value;screen_on;voltage;battery_level;up_time;usage;network_status_disconnected;temperature;system_size_partition_busy;network_status_WIFI;screen_brightness;ram_busy_percent;whatsapp_0;user_storage_busy_percent;com.google.android.googlequicksearchbox:interactor_0;youtube_1;network_status_hspap;com.facebook.lite:fbns_0;messenger_0;google play store_1;com.sec.spp.push:remotedlcprocess_0;bluetooth share_1;network_status_0;location_enabled;power_saver_enabled;google play music_1;network_status_disconnecting;fused location_1;com.instagram.android:mqtt_0;google play services_1;shareit_0;com.facebook.orca:videoplayer_0;network_status_lte;samsung push service_1;beaconmanager_1;com.facebook.katana:videoplayer_0;network_status_hsupa;google play música_1;com.samsung.android.email.provider:service_0;layanan google play_1;network_status_edge;network_status_utms;google backup transport_1;lite_0;com.android.chrome:privileged_process0_0;com.instagram.android:videoplayer_0;com.lenovo.anyshare.gps:transfer_0;roaming_enabled;com.sec.phone_1;ims service_1;developer_mode;com.google.android.googlequicksearchbox:search_0;network_status_gprs;health_Good;secvideoengineservice_1;org.simalliance.openmobileapi.service:remote_0;network_status_hsdpa;com.android.systemui.recents_0;nfc_enabled;battery double_0;bluetooth_enabled;health_Unspecifiedfailure;bootagent_1;os_version_6.0.1;battery analytics_0;csc_1;system ui_1;health_Unknown;com.google.android.gms.persistent_0;com.facebook.katana:notification_0;os_version_5.1.1;os_version_7.1.2;network_status_19;network_status_hspa;batteryhub_0;com.android.smspush_1;com.qualcomm.qcrilmsgtunnel_1;android services library_1;com.qualcomm.qti.tetherservice_1;facebook_0;os_version_5.1;os_version_6.0;os_version_4.2.2;os_version_4.4.2;os_version_4.3;os_version_5.0.1;os_version_5.0.2;bluetooth_1;context service_1;com.android.systemui.imagewallpaper_0;os_version_7;network_status_1xrtt;network_status_connecting;network_status_ehrpd;com.qualcomm.atfwd_1;health_Overheat;network_status_evdo_a;os_version_4.4.4;network_status_30;os_version_10.1.2;os_version_5;os_version_6;network_status_16;os_version_4.1.2;os_version_7.1.1;health_Overvoltage;os_version_4.1.1;os_version_9.0.1;network_status_17;os_version_7.1;os_version_5.0
XT1254;130.5832;4.7173357009887695;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;0.0;0.0;;0.0;;;0.0;;;;0.0;;;0.0;;;0.0;;;;;;;;0.0;;;;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;
POLYTRON R2407;49.78853;6.313723087310791;4.049870491027832;4.967406272888184;2.952329158782959;0.5508273839950562;4.03884220123291;2.788917064666748;0.0;0.6819559335708618;3.4040093421936035;2.2436652183532715;0.34950730204582214;0.8740480542182922;0.0;;0.0;0.5503425598144531;0.0;0.0;;;1.441947340965271;0.041299983859062195;0.0;;;0.0;0.0;;0.0;0.0;;;;0.0;;;;0.0;0.0;0.0;;0.7866412401199341;0.0;0.0;0.1767130047082901;0.0;;;0.16286303102970123;1.6073416471481323;0.0;0.0;;;;;0.0;0.0;0.0;;;;0.0;;;;0.0;;;;;0.0;;0.0;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LG-M150;73.719696;0.0;7.619293689727783;0.0;0.022895485162734985;0.0;0.25410667061805725;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;;0.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;;;0.0;;0.0;0.0;0.0;;;;0.0;;0.0;;;;;;;0.0;;;0.0;0.0;0.0;;;;;;;;;0.0;;;0.0;;;;0.0;0.0;;;;;;;;;;;;;;;
XT1080;276.92056;94.61024475097656;35.20724105834961;26.4531307220459;47.15756607055664;11.874761581420898;39.30291748046875;42.469661712646484;0.004538512323051691;4.40526008605957;16.78131866455078;6.283854961395264;2.843318462371826;17.352285385131836;;1.7473835945129395;14.099870681762695;1.61525297164917;0.45874184370040894;2.001319169998169;;;;4.789853096008301;0.0;0.2591402232646942;;;4.5959978103637695;5.002389430999756;1.0047202110290527;0.4073748290538788;2.8881311416625977;;;2.3309268951416016;;;;;0.0;0.0;8.159989356994629;6.333460330963135;1.152315378189087;0.8089559078216553;0.026721257716417313;0.1922772079706192;;;0.0;2.3008177280426025;0.0;0.0;;;0.0;;14.744050025939941;0.021994104608893394;4.440061092376709;;;;;;0.30968165397644043;;0.12944331765174866;0.0;;;;0.5859354138374329;;;;;;1.6939189434051514;;;;;;;;;;;;;;;0.05463871359825134;;;0.0;;;;;;;;;;;;;
SM-G925I;95.06163;0.0;6.692043781280518;0.0;0.0;0.04018912464380264;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;;;;0.0;;;0.0;;0.0;;;;;;;;0.0;0.0;;0.0;;;;;;;;;;;;;;;;;;;;
SM-N910F;131.8813;0.4925137758255005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;;;;;0.0;;;;;;0.0;;0.0;0.0;0.0;;;;;0.0;;;0.0;0.0;;;;;;;;;;;;
SM-G7102;524.93463;149.90199279785156;94.44114685058594;33.13088607788086;38.18522644042969;16.244638442993164;85.53254699707031;259.089111328125;15.052217483520508;0.9125101566314697;14.672114372253418;22.90509605407715;17.519145965576172;18.32666015625;;2.6190733909606934;4.830633640289307;0.7021358609199524;0.24239741265773773;8.540675163269043;0.007128311321139336;0.0;2.388436794281006;1.9806773662567139;0.0;0.591986894607544;;0.0;4.444908142089844;3.002332925796509;10.517627716064453;0.2309718281030655;;0.5070652365684509;;5.676640033721924;;0.0;;5.405298233032227;0.023728301748633385;0.0;22.33123207092285;1.847133994102478;3.096146583557129;0.6330302953720093;10.885196685791016;0.6413410902023315;7.729355335235596;;73.8216552734375;2.8464040756225586;0.0;0.0;;0.0;0.2120266556739807;;0.0;1.4492793083190918;0.018609853461384773;0.02640220895409584;;;;0.0;0.033487189561128616;0.0;1.2013565301895142;;;;;0.04411686956882477;;;;;;0.7697036862373352;;;;0.0;0.0;;;;0.09985345602035522;;;;0.0;;1.222290277481079;;;;;0.0;;;;;;;;;;;
ZTE BLADE A512;154.00998;1.056756854057312;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0;;0.0;0.0;;;0.0;;0.0;;;0.0;0.0;0.0;;0.0;0.0;;0.0;;;0.0;0.0;0.0;0.0;;;0.0;;0.0;0.0;0.0;;;0.0;;;;0.0;;0.0;;;;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andromax B26D2H;195.36801;90.44559478759766;48.32305145263672;56.210487365722656;11.675658226013184;19.55784034729004;6.057006359100342;20.649478912353516;0.31327593326568604;1.553557276725769;4.449632167816162;5.533449649810791;1.116868257522583;11.169768333435059;2.159773588180542;0.6822648644447327;;3.7731754779815674;0.31472647190093994;5.96273136138916;;;0.0;0.7638657689094543;0.0;;0.06707005202770233;0.0;0.9147186279296875;;1.004534125328064;0.4532232880592346;2.247093915939331;;;0.10936380922794342;;;;0.1256103813648224;;;0.0;4.139901638031006;2.448364734649658;3.0785272121429443;1.353639841079712;0.0;;;0.0;2.8450844287872314;;0.0;;;;;0.0;0.0;0.006524240132421255;;;0.0;2.1440370082855225;;;0.0;;0.0359693318605423;;;;;;0.015908142551779747;0.0;;0.0;0.015695517882704735;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;
Moto G (5);557.83;180.07376098632812;74.41896057128906;40.92575454711914;20.044353485107422;29.464040756225586;24.969968795776367;149.4931182861328;7.138385772705078;8.066507339477539;40.065731048583984;21.341825485229492;2.192260265350342;17.230762481689453;0.0;10.248159408569336;0.5896571278572083;0.0;0.03581777215003967;5.18195915222168;;0.8729021549224854;1.1876860857009888;1.9320937395095825;0.4965755343437195;0.0;0.0;0.21594639122486115;4.219693183898926;0.0;0.0;40.98512268066406;0.02332235500216484;;;20.43402671813965;0.0;1.4610971212387085;;;0.0;0.0;0.0;;9.387173652648926;6.50266695022583;0.0;0.08192744106054306;;;0.7580610513687134;0.012329105287790298;0.0;0.0;;;;;0.0;0.0;0.27336061000823975;;;;;;0.0;;;0.7025408744812012;;;;0.0;0.0;;0.0;0.0;0.0;0.03774386644363403;;;;;;;;0.0;;;0.0;;0.0;;0.0;0.0;;;;;;;;;;;;;;;
