;model;lower;upper;medcouple
0;LG-H870DS.csv;2.7718319060082592;14242.981073356888;0.5318379160636757
1;TZ862.csv;21.303409105181863;2233.4856301644736;0.7333333333333333
2;LG-M255.csv;66.24535499692105;1264.4263684793184;0.2887029288702929
3;Evolio_S5.csv;29.95470392486652;112.89722504971635;1.0
4;LG-H831.csv;67.35070170904868;1152.371631791354;0.4838709677419355
5;POLYTRON_R2406.csv;24.816601453419654;1343.3358060582955;0.7333333333333333
6;Andromax B16C2H.csv;-46.09887694514245;721.354147496195;0.28476821192052987
7;LG-K240.csv;47.05557950026724;3586.801063843622;0.4166666666666667
8;SM-T110.csv;49.18137269411414;3467.1288780627724;0.576923076923077
9;C2004.csv;38.26830664693287;800.7467089108053;0.2
10;SM-T535.csv;-275.30507179159855;2267.777955446224;0.19170984455958548
11;SM-G360H.csv;-120.72378257097236;2238.5454404946913;0.30564784053156147
12;ASUS ZenUI.csv;-35.979536361812066;956.0056140412153;0.30827067669172936
13;GT-B5330.csv;-156.82565281986;951.5107095070935;0.1973684210526316
14;MFLogin3T.csv;-17.565523695470958;397.82680490982267;0.20987654320987653
15;C6503.csv;16.462389062920792;6089.229389970525;0.5851648351648352
16;Fuego 4.csv;-86.87821261249785;112231.24513277196;0.9133056916698078
17;itel it1507.csv;27.970329701715386;1727.364657809836;0.894736842105263
18;SM-J320V.csv;119.13950891554859;2448.5922149965663;0.5613382899628252
19;LG-K121.csv;23.40577025030803;2433.506970041978;0.515625
20;SM-G3815.csv;34.71472230347801;5714.589147229118;0.6363636363636364
21;BQru-4072.csv;76.81876450859122;571.5025706719576;0.4666666666666666
22;QMobile i2 POWER.csv;102.18737176299051;21663.750399471188;0.6809692074709743
23;VS415PP.csv;86.90400471655903;6215.956830537831;0.44315545243619486
24;WIM Lite.csv;-17.291149267048652;5276.584930670787;0.5025641025641026
25;JCI VA-10J.csv;-24.122567927028058;12002.615735611453;0.45553737043098746
26;SM-J111M.csv;68.64200257516615;16722.082836652306;0.6606060606060606
27;QMobile T300.csv;29.95470392486652;112.89722504971635;1.0
28;SM-J500N0.csv;74.58958425661295;1409.8003760791971;0.35555555555555557
29;SM-J100H.csv;-94.45647839529099;3000.671474658413;0.3657657657657658
30;VFD 513.csv;35.214416292352404;6261.420277870073;0.6933962264150944
31;SM-J200BT.csv;24.385457828666446;5212.018422841259;0.4804270462633452
32;GT-N7102.csv;57.86045806868094;1618.3427663477376;0.55
33;V20.csv;29.909407849733043;195.7944500994327;1.0
34;Samsung G965F.csv;-138.07954706992427;153.3965603454526;-0.3186813186813187
35;TZ853.csv;-64.26104133013665;4756.853443898697;0.5109489051094891
36;LGL82VL.csv;-59.2688152078899;215.22340960710417;-0.2
37;LG-K373.csv;-7.3456304158248145;1133.498057228482;0.3758865248226951
38;IP6.csv;10.415800609275642;1628.9661438232254;0.5157894736842106
39;F-01F.csv;88.65149979252423;1052.178564375565;0.3125
40;IM-A870S.csv;79.47274942474144;4728.836263326608;0.6240369799691835
41;SM-T217S.csv;-438.99802172467037;8986.914319217725;0.3565217391304348
42;SM-P605.csv;23.398282787705682;180.21966887076616;0.11111111111111108
43;S4T.csv;5.554407053498423;3682.9863560814656;0.6614173228346457
44;SAMSUNG-SM-G920A.csv;-8.910450364283378;2643.8417730830515;0.46825396825396826
45;SAMSUNG-SM-G928A.csv;70.79300033582066;1433.6896556234094;0.557142857142857
46;SM-G532F.csv;65.82186568227903;1610.382049545948;0.3504823151125402
47;SM-A810S.csv;21.81699143327765;5366.811142514297;0.5555555555555556
48;D5833.csv;-21.923404254555976;1322.0399546217945;0.29496402877697836
49;Haier A16C3H.csv;-3.105498501154127;1537.2985669221837;0.5483870967741935
50;202K.csv;33.93390848243324;1268.358414839598;0.5000000000000001
51;ZTE BLADE L7.csv;-16.211520238036627;2650.243559801423;0.3949447077409163
52;SM-J100M.csv;-108.13061196301143;599.7547053052062;0.14691943127962087
53;5054W.csv;51.13982813881266;2121.829965458873;0.4432432432432433
54;W509.csv;83.76475744272136;2459.380243956245;0.6756756756756758
55;XT1097.csv;23.143145888067707;2196.5953238869783;0.3913043478260869
56;SM-T285.csv;139.45464996926754;1896.040655750771;0.4690265486725664
57;SM-T377P.csv;104.91455700498017;1500.6478591948294;0.3333333333333333
58;M50A MAX.csv;-566.6261635544072;245.765860816349;-0.26829268292682923
59;Alfa A114 Quad.csv;29.142000152691484;985.9110824850741;0.9333333333333333
60;A577VL.csv;76.85449722209881;3737.4079726458904;0.6943231441048036
61;wt88047.csv;-95.375;287.625;0.0
62;HUAWEI Y625-U21.csv;-25.100553994114456;3779.8786001131934;0.5434782608695652
63;Curvy C50i.csv;9.921129929592894;3792.85118728213;0.6923076923076923
64;LG-K430.csv;18.736954378047216;3334.615042732713;0.49748743718592975
65;GT-S7262.csv;-1.981519063029964;11352.151612923164;0.570954356846473
66;WV8R-M.csv;59.73994885185873;40898.459684406545;0.8343949044585987
67;SM-A500H.csv;-2.5262528038847947;1122.2645001927906;0.35555555555555557
68;SGH-T889.csv;27.38676448651596;575.0495379782944;0.39622641509433965
69;ALE-L23.csv;-8.272710004015721;484.734034869016;0.16981132075471692
70;SM-G920T.csv;13.714216381408583;2193.902118333429;0.49618320610687017
71;GT-S7580.csv;85.9855005995361;13281.818776239843;0.7907303370786516
72;Lenovo TB-X103F.csv;91.71961892097298;16624.990853040224;0.6914893617021276
73;AquaSense5.csv;-20.58188520977656;2351.2781012728105;0.49579831932773105
74;LG-H850.csv;18.449096481977037;5870.288522624663;0.5957446808510639
